year_month,target_food_price_inflation,target_food_price_inflation_lag1,target_food_price_inflation_lag2,target_food_price_inflation_lag12,hcp_zaf_fao_cp_23014,hcp_zaf_fao_cp_23014_lag1,hcp_zaf_fao_cp_23014_lag6,bdi_close_mean_roll12_mean,bdi_close_mean_lag3,policy_rate,policy_rate_lag2,policy_rate_change_12m_lag2,brent_usd_per_barrel_lag6,brent_yoy_pct_lag12,month_sin,month_cos
2002-01-01,5.239702,4.608727,3.592213,3.602384,12.303151,11.420016,3.666981,1162.3205173064996,898.0434782608696,12.5,13.5,-0.5,24.61,0.4312034496275929,0.4999999999999999,0.8660254037844387
2002-02-01,5.618992,5.239702,4.608727,3.359312,12.113274,12.303151,3.956479,1119.0205173064996,855.2272727272727,12.5,13.5,-0.5,25.68,-1.0079193664506825,0.8660254037844386,0.5000000000000001
2002-03-01,6.406912,5.618992,5.239702,2.72,13.786453,12.113274,4.635092,1082.6171082155904,870.1764705882352,12.5,12.5,-1.5,25.62,-10.876682429974526,1.0,6.123233995736766e-17
2002-04-01,7.2758,6.406912,5.618992,2.173337,15.482588,13.786453,6.32412,1052.3980188254484,931.318181818182,12.5,12.5,-1.5,20.54,12.741652021089632,0.8660254037844387,-0.4999999999999998
2002-05-01,7.724501,7.2758,6.406912,2.028451,15.562524,15.482588,8.523282,1017.78330021073,959.55,12.5,12.5,-1.5,18.8,2.0547945205479534,0.4999999999999999,-0.8660254037844387
2002-06-01,8.50368,7.724501,7.2758,1.571092,17.779318,15.562524,11.420016,985.9149139673436,1064.75,12.5,12.5,-1.5,18.71,-6.543624161073824,1.2246467991473532e-16,-1.0
2002-07-01,9.027878,8.50368,7.724501,1.963865,18.814753,17.779318,12.303151,966.5150457196492,1077.4761904761904,12.5,12.5,-1.5,19.42,-14.191073919107389,-0.4999999999999998,-0.8660254037844388
2002-08-01,9.716459,9.027878,8.50368,2.199529,20.299835,18.814753,12.113274,968.3361135407172,1032.909090909091,12.5,12.5,-1.5,20.28,-14.966887417218544,-0.8660254037844384,-0.5000000000000004
2002-09-01,10.486601,9.716459,9.027878,2.356638,21.477201,20.299835,13.786453,988.1011929057964,995.0555555555557,12.5,12.5,-1.0,23.7,-22.691611345805672,-1.0,-1.8369701987210294e-16
2002-10-01,11.244292,10.486601,9.716459,2.576765,21.820997,21.477201,15.482588,1027.0468450797096,988.5652173913044,12.5,12.5,-1.0,25.73,-33.65633074935401,-0.8660254037844386,0.5000000000000001
2002-11-01,11.139908,11.244292,10.486601,3.592213,20.538497,21.820997,15.562524,1077.480286638151,1001.7619047619048,12.5,12.5,-1.0,25.35,-42.2427035330261,-0.5000000000000004,0.8660254037844384
2002-12-01,11.037445,11.139908,11.244292,4.608727,18.035244,20.538497,17.779318,1143.794012128347,1182.3809523809523,12.5,12.5,-1.0,24.08,-27.08495713172252,-2.4492935982947064e-16,1.0
2003-01-01,10.723638,11.037445,11.139908,5.239702,17.388483,18.035244,18.814753,1207.3394666738018,1365.391304347826,12.5,12.5,-1.0,25.74,-24.199843871975013,0.4999999999999999,0.8660254037844387
2003-02-01,10.900273,10.723638,11.037445,5.618992,15.279111,17.388483,20.299835,1266.8519666738016,1460.428571428571,12.5,12.5,-1.0,26.65,-26.25454545454545,0.8660254037844386,0.5000000000000001
2003-03-01,10.782214,10.900273,10.723638,6.406912,13.586692,15.279111,21.477201,1332.2696254039604,1665.9411764705883,12.5,12.5,0.0,28.4,-3.265306122448985,1.0,6.123233995736766e-17
2003-04-01,11.533088,10.782214,10.900273,7.2758,11.47032,13.586692,21.820997,1414.4424428642778,1693.8636363636365,12.5,12.5,0.0,27.54,0.2727981293842552,0.8660254037844387,-0.4999999999999998
2003-05-01,11.41154,11.533088,10.782214,7.724501,11.27738,11.47032,20.538497,1514.3000186218535,1673.7,12.5,12.5,0.0,24.34,-10.45566937477922,0.4999999999999999,-0.8660254037844387
2003-06-01,11.292112,11.41154,11.533088,8.50368,8.999999,11.27738,18.035244,1609.3707858176208,1849.7619047619048,13.0,12.5,0.0,28.33,-13.536804308797134,1.2246467991473532e-16,-1.0
2003-07-01,10.330383,11.292112,11.41154,9.027878,7.503716,8.999999,17.388483,1709.6497713248673,2063.55,13.0,12.5,0.0,31.18,4.591629418935384,-0.4999999999999998,-0.8660254037844388
2003-08-01,9.664176,10.330383,11.292112,9.716459,5.730268,7.503716,15.279111,1816.665445928042,2231.2,13.0,13.0,0.5,32.77,3.777258566978192,-0.8660254037844384,-0.5000000000000004
2003-09-01,8.732615,9.664176,10.330383,10.486601,3.574533,5.730268,13.586692,1923.372336259932,2135.904761904762,13.0,13.0,0.5,30.61,10.850897736143628,-1.0,-1.8369701987210294e-16
2003-10-01,7.542404,8.732615,9.664176,11.244292,2.338437,3.574533,11.47032,2156.4701623468886,2191.913043478261,13.0,13.0,0.5,25.0,34.07984420642649,-0.8660254037844386,0.5000000000000001
